Date,News,Prediction
16/12/2014, new gas field in levantine basin could hold 5 trillion cubic feet, DECREASE
16/12/2014, 10 us cities most at risk from power outages, DECREASE
17/12/2014, iea says coal demand will keep growing through 2019, DECREASE
17/12/2014, south stream demise could benefit both turkey and moscow, DECREASE
18/12/2014, easy win for obama in alaskan oil decision, INCREASE
18/12/2014, oil price pain who’s next after emerging markets and fracking, INCREASE
18/12/2014, oil sands not a dirty fuel says eu, INCREASE
19/12/2014, nuclear ambitions hurt iran more than war with iraq, DECREASE
19/12/2014, uk oil industry under serious threat from low oil prices, DECREASE
19/12/2014, russia india nuclear deal not as exciting as previously thought, DECREASE
22/12/2014, crisis summit to save north sea oil industry, INCREASE
23/12/2014, oil minister says saudi will never cut production regardless of price, DECREASE
23/12/2014, opec may cull weaker members, DECREASE
23/12/2014, low oil prices lead to us refining boom, DECREASE
26/12/2014, diminishing returns in the bakken, DECREASE
26/12/2014, christmas day and uk energy policy failure, DECREASE
29/12/2014, september world oil production surprises, DECREASE
29/12/2014, russia sends cheap energy to ukraine to avoid crimea blackouts, DECREASE
30/12/2014, russian woes continue as ruble plumbs new depths, DECREASE
30/12/2014, tesla increase range of roadster by 50, DECREASE
13/01/2015, further retrenching by energy majors, INCREASE
13/01/2015, chinese green revolution tramples australian coal exports, INCREASE
13/01/2015, south korea launches world’s secondlargest carbon trading market, INCREASE
14/01/2015, plunging oil prices drag ruble to new low, INCREASE
14/01/2015, obama to impose more emissions regulations on oil and gas industry, INCREASE
14/01/2015, oil price implosion raises recession threat for alberta, INCREASE
15/01/2015, shell scraps 6 billion project in qatar, DECREASE
15/01/2015, uk mismanagement failed north sea oil says scottish oil minister, DECREASE
15/01/2015, new research says social cost of climate change much higher than thought, DECREASE
16/01/2015, opec lower demand in 2015, DECREASE
16/01/2015, kazakhstan facing serious challenges from low oil prices, DECREASE
16/01/2015, good news for bp in oil spill case, DECREASE
20/01/2015, british utilities begin passing energy savings on to consumers, INCREASE
20/01/2015, texas railroad commission oil and gas production data, INCREASE
20/01/2015, amazing green cars at the 2015 detroit auto show, INCREASE
21/01/2015, two new oil projects come online, DECREASE
21/01/2015, central asia in for a painful 2015, DECREASE
22/01/2015, russia may be forced into production cuts says deputy pm, INCREASE
22/01/2015, with oil prices stubbornly low, INCREASE
23/01/2015, more job cuts for north sea as oil price havoc continues, DECREASE
23/01/2015, europe’s gas saga with russia and ukraine continues, DECREASE
26/01/2015, emergency tax may not be enough to save north sea oil, INCREASE
26/01/2015, us oil rig numbers plunge, INCREASE
27/01/2015, alaska facing huge deficit without oil tax revenues, INCREASE
27/01/2015, global drilling productivity the unwelcome truth, INCREASE
28/01/2015, british utilities under fire for not sharing savings with consumers, DECREASE
29/01/2015, either oil rebounds above 80 or energy stocks fall by 40, INCREASE
16/02/2015, judge dismisses suit against energy companies over louisiana erosion, DECREASE
16/02/2015, british gas leading tech revolution for energy utilities, DECREASE
16/02/2015, train carrying volatile bakken crude derails in canada, DECREASE
17/02/2015, iea gets new leader everyone can agree on, DECREASE
17/02/2015, rollsroyce roped into petrobras corruption scandal, DECREASE
17/02/2015, state of emergency in west virginia following oil train explosion, DECREASE
18/02/2015, opec won’t regain strength until us shale production slows in 2030s, DECREASE
18/02/2015, ugandan oil industry starts after 8 years of delays, DECREASE
18/02/2015, industry relief as india begins coal block auctions, DECREASE
19/02/2015, moscow slings insults following canadian sanctions, INCREASE
20/02/2015, renewed calls to allow us crude exports to mexico, DECREASE
20/02/2015, russian gas flows to eastern ukraine in ‘humanitarian’ gesture, DECREASE
20/02/2015, lack of political will could see world miss carbon targets, DECREASE
23/02/2015, oil industry blasts latest rules for arctic drilling, INCREASE
23/02/2015, 15 refineries now affected as usw strike expands, INCREASE
23/02/2015, white house arctic drilling rules draw fire from environmentalists, INCREASE
24/02/2015, duke energy facing 1022 million pollution charge, DECREASE
24/02/2015, gazprom threatens to cut off gas to ukraine, DECREASE
25/02/2015, keystone xl saga may not be over yet despite obama veto, INCREASE
25/02/2015, lebanon facing uphill battle to develop energy resources, INCREASE
26/02/2015, encana to continue asset development despite fall in profits, INCREASE
27/02/2015, spanish utility cutting off a piece of us shale gas cake, DECREASE
27/02/2015, russian defiance could lead to a multipolar world, DECREASE
13/03/2015, refiners strike may finally be settled, DECREASE
13/03/2015, florida utility to buy coal plant for 520m, DECREASE
16/03/2015, fears of violence against western oil workers in saudi arabia, INCREASE
16/03/2015, venezuela’s state oil company undergoes reforms, INCREASE
17/03/2015, opec says us oil production may decline by end of 2015, INCREASE
17/03/2015, fracklog could suppress crude prices even further, INCREASE
17/03/2015, solarcity now a utility, INCREASE
18/03/2015, algeria begins global talks to rally oil prices, INCREASE
18/03/2015, low oil prices force kuwait to consider unpopular taxes, INCREASE
19/03/2015, saudi oil exports rebound after a disappointing 2014, INCREASE
19/03/2015, europe one big step closer to weaning off russian gas, INCREASE
23/03/2015, oil prices could crash hard this summer, DECREASE
23/03/2015, january data from texas may show production decline underway, DECREASE
24/03/2015, saudis up the pressure on oil markets, INCREASE
24/03/2015, whiting forced to issue massive secondary, INCREASE
25/03/2015, airlines keep fuel savings for themselves, INCREASE
25/03/2015, the hunt for fukushima’s missing reactor fuel, INCREASE
26/03/2015, duke energy to contend 251 million fine for soiling water resources, DECREASE
26/03/2015, can china promise blue skies for 2022 winter olympics, DECREASE
27/03/2015, tax cuts insufficient to halt north sea job losses, DECREASE
27/03/2015, another major getting out of the oil sands business, DECREASE
30/03/2015, texas towns under pressure from low oil prices, DECREASE
31/03/2015, scotland pulling out all the stops to save north sea oil  gas, INCREASE
13/04/2015, shell’s arctic fate to be decided soon, INCREASE
13/04/2015, deepwater horizon’s 5 year anniversary comes with new regulations, INCREASE
14/04/2015, how russia and iran are sidestepping western sanctions, INCREASE
14/04/2015, technology to clean up fukushima plant doesn’t exist yet, INCREASE
15/04/2015, no room for iranian oil in current opec strategy, INCREASE
15/04/2015, current crisis may be a blessing in disguise for russia, INCREASE
16/04/2015, 100 billion barrels of oil below gatwick maybe not, INCREASE
16/04/2015, oil market too murky to call says iea, INCREASE
17/04/2015, gas discounts to ukraine from neighborly love claims putin, DECREASE
17/04/2015, total us rig count drop over 50, DECREASE
20/04/2015, no empty threats from argentina in falkland oil dispute, DECREASE
20/04/2015, can greece cash in on russian pipeline transit fees, DECREASE
21/04/2015, gas flaring could end by 2030, NEUTRAL
21/04/2015, russian spin doctors in full flow over gdp drop, NEUTRAL
22/04/2015, are oklahoma’s quakes caused by wastewater disposal, INCREASE
22/04/2015, will solar be the kiss of death for coal, INCREASE
23/04/2015, low oil prices limit iraq’s output growth, INCREASE
24/04/2015, bp to sell off major north sea asset as part of survival strategy, DECREASE
24/04/2015, exxon mobil to pay 5 millionplus for arkansas spill, DECREASE
27/04/2015, iran says budget adjusting to low oil prices, DECREASE
27/04/2015, china grabbing up assets in this key resource area, DECREASE
28/04/2015, uk gas supplier centrica sees profits drop despite cold winter, INCREASE
28/04/2015, china is cooking the books on gdp growth figures, INCREASE
29/04/2015, concerned russia to meet opec members before june’s cartel meeting, DECREASE
29/04/2015, saudi arabia on sales offensive in asia, DECREASE
30/04/2015, gazprom in dire straits as profits plunge 86 percent, INCREASE
30/04/2015, saudi oil minister remains in place after shakeup, INCREASE
30/04/2015, historic deal for super tankers could be major boost for mining sector, INCREASE
13/05/2015, 77 percent rise in oil prices here, DECREASE
13/05/2015, statoil undergoing big changes under new ceo, DECREASE
13/05/2015, continued dollar rally could undermine us economic growth, DECREASE
14/05/2015, this may just be the start of the oil price war says iea, DECREASE
14/05/2015, oil industry suing us govt over oil train safety rules, DECREASE
15/05/2015, collateral damage from russian recession could be global, INCREASE
18/05/2015, us and moscow ramp up pressure on greece over gas pipelines, DECREASE
18/05/2015, seattle bay filled with kayaktivists protesting shell arctic drilling, DECREASE
19/05/2015, why shell may get less than it bargained for in bg deal, INCREASE
19/05/2015, one of shale’s major plays is flattening out, INCREASE
20/05/2015, bp seeks partner to explore waters off southern australia, INCREASE
20/05/2015, gazprom lowers production numbers yet again, INCREASE
21/05/2015, shell ceo defiant on arctic drilling, NEUTRAL
21/05/2015, transocean settles for 211 million in deepwater horizon spill, NEUTRAL
22/05/2015, israel refuses to pay old oil debt to iran, DECREASE
22/05/2015, these factors could push oil prices higher, DECREASE
22/05/2015, texas showing signs of low oil price pressure, DECREASE
26/05/2015, oil majors falling out favor with this hedgefund boss, DECREASE
26/05/2015, macedonia caught in eastwest pipeline tugofwar, DECREASE
27/05/2015, iran claims to have foiled us cyber attack on oil ministry, DECREASE
27/05/2015, eni reports second gas find offshore libya this year, DECREASE
28/05/2015, us energy department to invest 32 million in solar jobs, INCREASE
28/05/2015, saudikuwait oilfield stays shut amid operational dispute, INCREASE
29/05/2015, pipeline owner must finish cleanup of california spill, DECREASE
29/05/2015, obama limits drilling to protect sage grouse, DECREASE
15/06/2015, canada one step closer to major lng exports, DECREASE
15/06/2015, us won’t reconsider exxon’s penalty for yellowstone spill, DECREASE
16/06/2015, lower oil revenues see saudiarabia open up stock exchange, NEUTRAL
16/06/2015, iea says nations’ climate plans too weak to meet emissions goals, NEUTRAL
17/06/2015, low oil prices prompt statoil to cut even more jobs, INCREASE
17/06/2015, shell cleared for exploration off nova scotia, INCREASE
18/06/2015, depressed oil prices push opec revenue below 1 trillion in 2014, DECREASE
18/06/2015, shellbg merger clears first regulatory hurdle, DECREASE
19/06/2015, how will russia respond to asset seizure over yukos settlement, INCREASE
19/06/2015, 100 million or 100 billion – how large is the gatwick oil deposit, INCREASE
22/06/2015, the new big oil is stateowned, INCREASE
23/06/2015, this is how russia will cut out ukraine, DECREASE
24/06/2015, controversial gazprom pipeline clears hurdle, DECREASE
24/06/2015, pipeline giants merger still possible after first bid fails, DECREASE
25/06/2015, transcanada blames low energy prices for latest job cuts, DECREASE
25/06/2015, damaged santa barbara pipeline sees exxon halt offshore production, DECREASE
25/06/2015, oil firms in talks with iran ahead of nuclear deal, DECREASE
26/06/2015, fukushima not even close to being under control, DECREASE
29/06/2015, argentina plans asset seizure of falkland oil companies, INCREASE
29/06/2015, chinese oil rig returns to vietnam coast, INCREASE
30/06/2015, gazprom reduces discount for gas to ukraine, INCREASE
30/06/2015, british shale industry just took another blow, INCREASE
13/07/2015, could iran’s production restart set back oil prices to 35, DECREASE
13/07/2015, exxonmobil could end up paying more in new jersey case, DECREASE
13/07/2015, grim economic outlook spikes fear for recession in canada, DECREASE
14/07/2015, is this the first european country to go 100 renewable, INCREASE
14/07/2015, arabian peninsula keeps opec’s production up, INCREASE
15/07/2015, gas passes coal as top us power source, DECREASE
15/07/2015, canada’s bc government ponders c36 billion lng deal, DECREASE
16/07/2015, can lng help ukraine, DECREASE
16/07/2015, china’s appetite for light crude on the rise, DECREASE
17/07/2015, weak ruble insulating russia from low oil prices, INCREASE
17/07/2015, shell expects oil price recovery to take 5 years, INCREASE
20/07/2015, russia says shale will affect oil prices more than iran’s return, DECREASE
21/07/2015, germany between a rock and a hard place over iran deal, INCREASE
21/07/2015, halliburton sees profit fall by 93 percent, INCREASE
22/07/2015, new weather software could be a gamechanger for solar and wind, DECREASE
22/07/2015, cuba hoping to kickstart offshore oil  gas industry, DECREASE
23/07/2015, green activists outraged at us approval of shell arctic drilling, DECREASE
23/07/2015, one of the worst sources of methane emissions may shock you, DECREASE
24/07/2015, russiachina gas relationship on the rocks, DECREASE
24/07/2015, uk government to slash renewables subsidies, DECREASE
27/07/2015, oil sands is utah the new alberta, INCREASE
27/07/2015, saudi petrochemical company beats analysts’ estimates, INCREASE
28/07/2015, lawsuit filed by chinese ngo against conocophillips and cnooc, INCREASE
28/07/2015, canadianmalaysian lng terminal project to begin this year, INCREASE
29/07/2015, oil majors resigned to lower oil price environment, DECREASE
29/07/2015, china looking to nuclear for its energy future, DECREASE
30/07/2015, ups goes big on renewable fuels, DECREASE
30/07/2015, could the new air china direct cargo route be a game changer for canada, DECREASE
31/07/2015, layoffs surge as oil price outlook remains sober, DECREASE
31/07/2015, pipeline attack highlights payment problems in iraqi kurdistan, DECREASE
13/08/2015, can new 500 million stock issue solve tesla’s problems, DECREASE
13/08/2015, could this innovation signal a breakthrough in fusion energy, DECREASE
14/08/2015, what a nuclear restart means for japanese oil demand, DECREASE
17/08/2015, northdakota production creeps up in spite of lower us oil output, DECREASE
17/08/2015, can private equity keep us shale alive, DECREASE
18/08/2015, tension growing in kazakhstan as oil prices batter economy, DECREASE
20/08/2015, bp not giving up on the north sea just yet, DECREASE
20/08/2015, texas oil production shows resilience in light of low oil prices, DECREASE
21/08/2015, why 20 oil won’t happen, DECREASE
24/08/2015, china may meet carbon goals sooner, INCREASE
24/08/2015, us energy storage solution helps out asian diary production, INCREASE
25/08/2015, iran prepared to defend old market share ‘at any cost’, DECREASE
25/08/2015, southern co and agl to form 2nd largest us utility, DECREASE
26/08/2015, environmental group threatens exxon with appeal in new jersey case, INCREASE
26/08/2015, scottish green party calls for nationalization of oil industry, INCREASE
27/08/2015, nuclear fuel bank in kazakhstan will have double role, INCREASE
27/08/2015, schlumbergercameron deal could benefit the whole oil industry, INCREASE
28/08/2015, finally good news for oil companies in kurdish iraq, INCREASE
28/08/2015, french oil giant total to sell 55 billion in assets this year, INCREASE
14/09/2015, this is why americans will pay more for gasoline if us export ban is lifted, INCREASE
15/09/2015, cargo trends affirm falling oil production, INCREASE
15/09/2015, bakken flat but eia predicts decline, INCREASE
16/09/2015, california ups renewables goals as us shale plays face decline, DECREASE
17/09/2015, russia puts arctic dreams on hold, DECREASE
21/09/2015, texas has seen peak oil production for now, DECREASE
21/09/2015, are fossil fuels to be taxed soon in washington state, DECREASE
22/09/2015, kazakhstan joins the list of suffering oil exporters, INCREASE
22/09/2015, ukraine finds itself sidelined as gazprom advances with nord stream two, INCREASE
23/09/2015, cheaper energy is not always better energy, DECREASE
24/09/2015, bitcoin goes mainstream as an investment vehicle, INCREASE
24/09/2015, 90b dollardenominated debt likely spells doom for petrobras, INCREASE
25/09/2015, could russia have had a role in recent pkk attacks on turkish pipelines, DECREASE
28/09/2015, chinese coal company fires 100, INCREASE
28/09/2015, just how important is china to the global economy, INCREASE
30/09/2015, will the oil market stalemate be broken next month, INCREASE
30/09/2015, egypt’s gas find could make or break geopolitics in the region, INCREASE
10/12/2015, iea chief sees no oilprice recovery until 2017, DECREASE
10/12/2015, egypt forced to pay israel 17 billion over broken gas contract, DECREASE
13/10/2015, opec optimistic on oil markets next year, DECREASE
13/10/2015, too many evs, DECREASE
13/10/2015, latest opec report yields few surprises, DECREASE
14/10/2015, statoil uses new method to wring more gas from north sea, DECREASE
14/10/2015, latest innovation could be a game changer for solar cell manufacturing, DECREASE
14/10/2015, bakken production down plus iea predictions, DECREASE
15/10/2015, iran now ready to begin limiting nuclear program, INCREASE
15/10/2015, spurned russian billionaire gets another north sea asset, INCREASE
16/10/2015, is cushing oil storage hub safe with increase in earthquake activity, DECREASE
16/10/2015, massive recall of vw vehicles ordered by german government, DECREASE
16/10/2015, industrial production for oil and gas well drilling drops to lowest this century, DECREASE
19/10/2015, schlumberger ceo rebound in oil will take longer than many expect, DECREASE
19/10/2015, european oil companies support climate action, DECREASE
19/10/2015, saudi fears over emerging russiairan energy nexus, DECREASE
20/10/2015, oilfield services not expecting rebound until late 2016, DECREASE
20/10/2015, canadian oil sands defends against hostile bid from suncor, DECREASE
21/10/2015, tesla’s stock dives after losing consumer reports recommendation, DECREASE
21/10/2015, iran expects gas exports to soar along with oil, DECREASE
21/10/2015, oil markets could get very ugly, DECREASE
22/10/2015, bp sheds more assets to pay for deepwater horizon disaster, DECREASE
22/10/2015, uk rolls out red carpet for china, DECREASE
22/10/2015, texas oil and gas both decline in august, DECREASE
23/10/2015, exxonmobil pushes back against reports it buried climate science, INCREASE
23/10/2015, hybrid solarwind farm could solve variability issue, INCREASE
23/10/2015, georgia could rue potential deal with gazprom, INCREASE
26/10/2015, china and the uk strengthening ties through energy, DECREASE
26/10/2015, netanyahu increasingly isolated in opposing iran deal, DECREASE
27/10/2015, duke energy to expand gas business with 49 billion purchase, INCREASE
27/10/2015, petrobras sells stake in gas unit to reduce debt, INCREASE
27/10/2015, murray energy sues us gov over “illegal and destructive” regulations, INCREASE
27/10/2015, fed’s decision to hike rates could still happen before year ends, INCREASE
27/10/2015, ten key market indicators this week, INCREASE
28/10/2015, bp showing the oil majors how it’s done, INCREASE
28/10/2015, moscow and ankara fall out over syria, INCREASE
28/10/2015, german energy company pulls the plug on turkmenistan operations, INCREASE
28/10/2015, jordan moves closer to russia, INCREASE
29/10/2015, as fuel prices drop, DECREASE
29/10/2015, copper foam could revolutionize battery storage, DECREASE
29/10/2015, this breakthrough could lead to more natgas vehicles on the road, DECREASE
30/10/2015, scottish energy policy based on wishful thinking not reality, DECREASE
30/10/2015, australia may still have a nuclear future, DECREASE
30/10/2015, chevron takes drastic measures, DECREASE
11/11/2015, oil majors don’t share opec’s optimism on oil prices in 2016, NEUTRAL
11/11/2015, oil price pain spreading to calgary real estate market, NEUTRAL
11/12/2015, isis oil operations difficult to stop says us official, DECREASE
11/12/2015, can vw’s top management have missed 10 years of emissions cheating, DECREASE
13/11/2015, ny governor chooses safety over savings in rejecting lng terminal, DECREASE
13/11/2015, ukraine’s naftohaz to sue russia over crimean assets, DECREASE
16/11/2015, iran focused on moscow, INCREASE
16/11/2015, iran expanding influence through more gas deals, INCREASE
17/11/2015, is rosneft booting exxon out of arctic oil plans, INCREASE
17/11/2015, natgas killing off nuclear in ny, INCREASE
17/11/2015, what does canada need to revive economic growth, INCREASE
18/11/2015, following shell, INCREASE
18/11/2015, bp won’t give up on australia without a fight, INCREASE
18/11/2015, suncor remains bearish on canadian crude, INCREASE
19/11/2015, what gasoline pumps and cigarette packs will now have in common, INCREASE
19/11/2015, forget keystone xl, INCREASE
20/11/2015, can this 113 million investment save solarcity, INCREASE
20/11/2015, officials in caracas accuse the us of industrial espionage, INCREASE
23/11/2015, iran agrees to details on removing weapons capability in reactors, INCREASE
23/11/2015, saudis feel pressure as key opec members call for changes, INCREASE
23/11/2015, alberta takes drastic measures to reduce carbon emissions, INCREASE
24/11/2015, vw’s ‘defeat device’ cost and culprit, DECREASE
24/11/2015, tensions between russia and ukraine spike over crimean blackout, DECREASE
24/11/2015, strained turkeyrussian relationship impacts both countries negatively, DECREASE
24/11/2015, this needs to happen for us production to fall significantly, DECREASE
25/11/2015, russian retaliation how will turkish gas supplies be affected, DECREASE
25/11/2015, french car company embroiled in diesel deception, DECREASE
27/11/2015, gazprom sees lng as key to its future, INCREASE
27/11/2015, vw making progress on diesel fix, INCREASE
30/11/2015, energy majors line up for iran’s more flexible contracts, DECREASE
30/11/2015, obama’s clean energy coalition gains support from big investors, DECREASE
12/10/2015, russian billionaire fridman sells north sea gas assets, DECREASE
12/10/2015, uk energy subsidy cuts claim first victim, DECREASE
12/10/2015, putin has what obama sorely lacks a coherent strategy for syria, DECREASE
12/10/2015, iran’s ballistic missile test flies in the face of nuclear deal, DECREASE
12/11/2015, ukraine buying less gas from russia, DECREASE
12/11/2015, uk may rue decision to cut renewables subsidies, DECREASE
12/11/2015, tax the trash why the us needs to rethink waste management, DECREASE
12/11/2015, will oil prices sink back to 30 opec adds to bearish sentiment, DECREASE
14/12/2015, russia sees no oil price recovery in the coming 7 years, INCREASE
14/12/2015, only investors can plant the seed for an oil price rebound, INCREASE
15/12/2015, arctic drilling dead this company hopes to prove that wrong, DECREASE
15/12/2015, suicide rate soars in alberta as job losses mount, DECREASE
15/12/2015, with oil at 36barrel, DECREASE
15/12/2015, this major sec move on mining, DECREASE
16/12/2015, low oil prices don’t daunt bidders at mexico’s oil auction, DECREASE
16/12/2015, china drops consumer fuel discount to fight pollution, DECREASE
17/12/2015, trump foiled in effort to halt scottish wind farm, INCREASE
17/12/2015, lg chem makes big move in us energy storage market, INCREASE
18/12/2015, israeli gas dreams move forward, DECREASE
18/12/2015, after 40 years, DECREASE
21/12/2015, us budget deal a boon for solar and wind, DECREASE
21/12/2015, uncertainty looms over global markets in 2016, DECREASE
22/12/2015, russian oil industry could begin deteriorating in 2017, INCREASE
22/12/2015, shellbg merger awaits shareholders approval, INCREASE
23/12/2015, chevron seeks to weather storm of low prices with china lng deal, INCREASE
28/12/2015, iran denies reports it plans to resume oil sales with steep discounts, DECREASE
28/12/2015, as oil prices stay low, DECREASE
29/12/2015, scottish communities reaping benefits of renewables, DECREASE
29/12/2015, saudis weathering low oil prices better than expected, DECREASE
29/12/2015, natural gas sees massive rally as temperatures plunge, DECREASE
30/12/2015, oil tanks as saudis seem content with policy, INCREASE
13/01/2016, 3 energy etf’s for a battered oil market, INCREASE
13/01/2016, the big picture take on geopolitical instability, INCREASE
14/01/2016, isis shifts focus to libya as pressure in syria, DECREASE
14/01/2016, azerbaijan’s economy in dire straits as oil prices keep tanking, DECREASE
18/01/2016, oil price collapse pushing russia’s economy to the edge, NEUTRAL
18/01/2016, while usiran relations warm, NEUTRAL
19/01/2016, low oil prices threaten nigerian oil fields, DECREASE
19/01/2016, except for permian, DECREASE
19/01/2016, iran to drive oil prices lower still, DECREASE
20/01/2016, as bg vote looms, INCREASE
20/01/2016, suncor sweetens deal for canadian oil sands, INCREASE
20/01/2016, kyrgyzstan pursues hydropower plans without russian support, INCREASE
20/01/2016, bearish equity markets drag mining sector down, INCREASE
21/01/2016, gazprom warns eu its policies may choke off gas supply, INCREASE
21/01/2016, exxon climate change investigation may become a federal case, INCREASE
21/01/2016, imminent energy defaults will impact these banks, INCREASE
22/01/2016, oil ceo’s – don’t expect oil prices to recover until 2017, DECREASE
22/01/2016, republicans outraged over kerry admission on iran, DECREASE
25/01/2016, obama moves to limit methane emissions, INCREASE
25/01/2016, china deal shows iran tilting east, INCREASE
25/01/2016, bearish bets hit record as investors believe in a sub 25 oil bottom, INCREASE
26/01/2016, sanctions and low oil prices deepen russian recession, INCREASE
26/01/2016, greece is first eu country out of the gate to buy iranian oil, INCREASE
26/01/2016, despite rumors there is no indication the saudis will budge, INCREASE
27/01/2016, iran wasting no time inks deals with italy and france, INCREASE
27/01/2016, houston feels the oil price pinch as office space vacancies grow, INCREASE
28/01/2016, israel fends off unknown hackers’ cyberattack on power company, INCREASE
28/01/2016, shellbg merger greenlighted by shareholders, INCREASE
28/01/2016, gazprom ups pressure on georgia with new gas transit deal, INCREASE
29/01/2016, these oilfield service giants are feeling the squeeze, DECREASE
29/01/2016, solar industry gets a victory in california, DECREASE
29/01/2016, terrorists blow up kurdish pipeline, DECREASE
29/01/2016, israel calls on turkey to end isis oil trade, DECREASE
16/02/2016, us lng set to hit global market, INCREASE
16/02/2016, gazprom reelects ceo alexei miller for fourth term, INCREASE
16/02/2016, libyan fighter jet downed by militants near benghazi, INCREASE
16/02/2016, successful flowtest confirms gatwick’s oil potential, INCREASE
16/02/2016, nigeria to send troops to protect niger delta oil assets, INCREASE
16/02/2016, brazil’s petrobras to sell all electricity assets, INCREASE
16/02/2016, cyprus to offer 12 blocks in third offshore licensing round, INCREASE
16/02/2016, another myanmar gas find for daewoo, INCREASE
16/02/2016, iran looking at africa to expand oil, INCREASE
16/02/2016, statoil, INCREASE
16/02/2016, oil prices down on news of crude output freeze, INCREASE
17/02/2016, fears for refined products glut grow as diesel prices tank, DECREASE
17/02/2016, buffett doubles down on oil holdings, DECREASE
17/02/2016, nigeria reveals details of 20 billion dollar oil swap corruption, DECREASE
17/02/2016, car bombing shakes turkish capital, DECREASE
17/02/2016, kazakhstan is about to worsen the glut with production from this field, DECREASE
17/02/2016, chinese oil major sees itself forced to shut down oil fields, DECREASE
17/02/2016, lukoil eyes stake in russian stateowned bashneft, DECREASE
17/02/2016, iraqi kurdistan forced to accept baghdad’s oilforsalaries deal, DECREASE
17/02/2016, tehran gives cold shoulder to opec on oil output freeze, DECREASE
17/02/2016, militants blow up colombian pipeline, DECREASE
18/02/2016, oil slump bypasses kenya as it waits to turn on the taps, DECREASE
18/02/2016, pkk attacks turkeykrg oil pipeline, DECREASE
18/02/2016, oil crisis prompts venezuela to hike fuel price, DECREASE
18/02/2016, 45 million acres of oil and gas leases under the hammer here, DECREASE
18/02/2016, french total lands exploration deal with sri lanka, DECREASE
18/02/2016, turkey blames syrian kurds for ankara attack, DECREASE
18/02/2016, oil prices cool down after eia report 21 million barrel build, DECREASE
18/02/2016, oil majors discover more oil in prolific santos basin, DECREASE
18/02/2016, marathon surpasses production targets but faces steep loss, DECREASE
18/02/2016, eia projects record high gulf of mexico oil production in 2017, DECREASE
18/02/2016, oil continues to rally on us crude inventory draw, DECREASE
19/02/2016, reports say brazil’s new oil tax dead in water, INCREASE
19/02/2016, api focuses on jump in january petroleum demand, INCREASE
19/02/2016, us oil rig count drops another 27 rigs, INCREASE
19/02/2016, chevron speeds up sale of shallow gulf of mexico assets, INCREASE
19/02/2016, iran delays sale of new heavy oil grade, INCREASE
19/02/2016, soros dumped chesapeake, INCREASE
19/02/2016, enbridge says new pipeline regulations mean costly delays, INCREASE
19/02/2016, tullow to add 80, INCREASE
19/02/2016, us launches airstrikes on isis positions in libya, INCREASE
19/02/2016, oil prices spiral down as opec rhetoric pales, INCREASE
22/02/2016, billions in debt fall due soon for shale drillers, DECREASE
22/02/2016, iran, DECREASE
23/02/2016, gatwick oil estimates too good to be true, DECREASE
23/02/2016, chechen oil takeover may be the start of russian power devolution, DECREASE
24/02/2016, why electricity deregulation fell short of expectations, INCREASE
24/02/2016, why wall st craves qe right now, INCREASE
25/02/2016, chesapeake soars on 385m asset sale, INCREASE
25/02/2016, la natural gas leak worst ghg disaster in us history, INCREASE
25/02/2016, the natural gas glut that will only get worse, INCREASE
29/02/2016, mexican oil giant slammed by low oil prices, DECREASE
14/03/2016, turkey bombs pkk in northern iraq following another ankara attack, DECREASE
14/03/2016, peak coal how much remains economically recoverable, DECREASE
15/03/2016, five years after fukushima does nuclear power have a future, INCREASE
16/03/2016, between scoop and stack, INCREASE
16/03/2016, resource investors massively ignore this technique, INCREASE
16/03/2016, largest us coal producer on the edge of bankruptcy, INCREASE
17/03/2016, can this frontier venue for natgas reel in serious investment, DECREASE
17/03/2016, how volatility and uncertainty characterized february oil markets, DECREASE
17/03/2016, why global debt growth may extend the oil glut, DECREASE
21/03/2016, isis bombings in istanbul threaten european stability, INCREASE
21/03/2016, how china’s transition will increase oil demand, INCREASE
22/03/2016, uk oil industry gets tax break, DECREASE
22/03/2016, chinese loans keep russian energy sector afloat, DECREASE
23/03/2016, oman gas projects could undermine us lng market ambitions, DECREASE
23/03/2016, oil dividends are on the rocks what should investors do, DECREASE
23/03/2016, commodities rout causes huge japanese trading firm to post firstever loss, DECREASE
24/03/2016, russia remains set on south stream pipeline project, NEUTRAL
24/03/2016, why downsizing nuclear reactors may save the industry, NEUTRAL
28/03/2016, tensions mount in the golan heights over oil and territory, DECREASE
29/03/2016, schlumberger and cameron see path clear for merger, NEUTRAL
29/03/2016, sunedison under sec scrutiny as bankruptcy looms, NEUTRAL
30/03/2016, european oil traders corner iranian gasoline markets, NEUTRAL
31/03/2016, gas pipeline uses 160 eminent domain suits to get property in 3 states, DECREASE
31/03/2016, ecuador moves mexico, DECREASE
13/04/2016, nord stream pipeline expansion inches forward despite eu opposition, INCREASE
13/04/2016, oil falls as russia tempers tone on output freeze, INCREASE
13/04/2016, heres the first panama papers fallout in the resources sector, INCREASE
14/04/2016, canadian crude exports to us hit record high, DECREASE
14/04/2016, what was the primary cause of the coal crash, DECREASE
14/04/2016, giants continue to topple in the energy sector, DECREASE
15/04/2016, just how much energy lies beneath the arctic, INCREASE
15/04/2016, the systemic risk created by resource corruption, INCREASE
18/04/2016, reform needed for algeria to ride out low oil prices, INCREASE
18/04/2016, is premier oil’s big north sea risk about to pay off, INCREASE
